Top-level zone: System: NonStridingTopLevelMemoryZoneContainer:System[00]
Top-level zone: Setup: NonStridingTopLevelMemoryZoneContainer:Setup[10 00 00]
Top-level zone: Temporary Tone ZCore: StridingTopLevelMemoryZoneContainer:Temporary Tone ZCore [02 00 00 00..02 03 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone Analog Synth Model: StridingTopLevelMemoryZoneContainer:Temporary Tone Analog Synth Model [02 10 00 00..02 13 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone RD Piano: NonStridingTopLevelMemoryZoneContainer:Temporary Tone RD Piano[02 20 00 00]
Top-level zone: Temporary Tone JUPITER-X: StridingTopLevelMemoryZoneContainer:Temporary Tone JUPITER-X [02 50 00 00..02 53 00 00/0x10000] (4 items)
Struct: Setup
Struct: System Common
Struct: System Control
Struct: Button Color Set
Struct: Drive
Struct: Arpeggio Common
Struct: Arpeggio Part
Struct: Master Comp
Struct: Master EQ
Struct: Sympathetic Resonance
Struct: ToneName
Struct: ToneCom
Struct: Model Bank Assign
Struct: USRDATABLK
Struct: Partial EQ
Struct: Partial LFO
Struct: Partial Pitch Env
Struct: Partial Filter Env
Struct: Partial Amp Env
Struct: Tone Common
Struct: Tone PMT
Struct: Tone Partial
Struct: Tone Synth Common
Struct: Tone Synth PMT
Struct: Tone Synth Partial
Struct: MDLSYN0
Struct: MDLJPX
Struct: MFX
Struct: Reverb
Struct: Chorus
Top-level struct: Setup
Top-level struct: System
Top-level struct: SynMdl
Top-level struct: RDTONE
Top-level struct: MdlJPX
Top-level struct: ZCore
offset,summary
06 03,System[0].Master Comp[1(unique)].Low Threshold
06 04,System[0].Master Comp[1(unique)].Low Ratio
06 05,System[0].Master Comp[1(unique)].Low Knee
06 06,System[0].Master Comp[1(unique)].Low Output Gain
06 07,System[0].Master Comp[1(unique)].Mid Attack Time
06 08,System[0].Master Comp[1(unique)].Mid Release Time
06 09,System[0].Master Comp[1(unique)].Mid Threshold
06 0a,System[0].Master Comp[1(unique)].Mid Ratio
06 0b,System[0].Master Comp[1(unique)].Mid Knee
06 0c,System[0].Master Comp[1(unique)].Mid Output Gain
06 0d,System[0].Master Comp[1(unique)].High Attack Time
06 0e,System[0].Master Comp[1(unique)].High Release Time
06 0f,System[0].Master Comp[1(unique)].High Threshold
06 10,System[0].Master Comp[1(unique)].High Ratio
06 11,System[0].Master Comp[1(unique)].High Knee
06 12,System[0].Master Comp[1(unique)].High Output Gain
06 13,System[0].Master Comp[1(unique)].Split Freq Low
06 14,System[0].Master Comp[1(unique)].Split Freq Hi
07 00,System[0].Model Bank Assign[1].Attribute
07 01,System[0].Model Bank Assign[1].Model
07 02,System[0].Model Bank Assign[1].Model
07 03,System[0].Model Bank Assign[1].Model
07 04,System[0].Model Bank Assign[1].Model
07 05,System[0].Model Bank Assign[1].Model
07 06,System[0].Model Bank Assign[1].Model
07 07,System[0].Model Bank Assign[1].Model
07 08,System[0].Model Bank Assign[1].Model
07 09,System[0].Model Bank Assign[1].Category
07 0a,System[0].Model Bank Assign[1].Category
07 0b,System[0].Model Bank Assign[1].Category
07 0c,System[0].Model Bank Assign[1].Category
07 0d,System[0].Model Bank Assign[1].Category
07 0e,System[0].Model Bank Assign[1].Category
07 0f,System[0].Model Bank Assign[1].Category
07 10,System[0].Model Bank Assign[1].Category
07 11,System[0].Model Bank Assign[1].EXZ
07 15,System[0].Model Bank Assign[1].EXZ
07 19,System[0].Model Bank Assign[1].EXZ
07 1d,System[0].Model Bank Assign[1].EXZ
07 21,System[0].Model Bank Assign[1].EXZ
07 25,System[0].Model Bank Assign[1].EXZ
07 29,System[0].Model Bank Assign[1].EXZ
07 2d,System[0].Model Bank Assign[1].EXZ
08 00,System[0].Model Bank Assign[2].Attribute
08 01,System[0].Model Bank Assign[2].Model
08 02,System[0].Model Bank Assign[2].Model
08 03,System[0].Model Bank Assign[2].Model
08 04,System[0].Model Bank Assign[2].Model
08 05,System[0].Model Bank Assign[2].Model
08 06,System[0].Model Bank Assign[2].Model
08 07,System[0].Model Bank Assign[2].Model
08 08,System[0].Model Bank Assign[2].Model
08 09,System[0].Model Bank Assign[2].Category
08 0a,System[0].Model Bank Assign[2].Category
08 0b,System[0].Model Bank Assign[2].Category
08 0c,System[0].Model Bank Assign[2].Category
08 0d,System[0].Model Bank Assign[2].Category
08 0e,System[0].Model Bank Assign[2].Category
08 0f,System[0].Model Bank Assign[2].Category
08 10,System[0].Model Bank Assign[2].Category
08 11,System[0].Model Bank Assign[2].EXZ
08 15,System[0].Model Bank Assign[2].EXZ
08 19,System[0].Model Bank Assign[2].EXZ
08 1d,System[0].Model Bank Assign[2].EXZ
08 21,System[0].Model Bank Assign[2].EXZ
08 25,System[0].Model Bank Assign[2].EXZ
08 29,System[0].Model Bank Assign[2].EXZ
08 2d,System[0].Model Bank Assign[2].EXZ
09 00,System[0].Model Bank Assign[3].Attribute
09 01,System[0].Model Bank Assign[3].Model
09 02,System[0].Model Bank Assign[3].Model
09 03,System[0].Model Bank Assign[3].Model
09 04,System[0].Model Bank Assign[3].Model
09 05,System[0].Model Bank Assign[3].Model
09 06,System[0].Model Bank Assign[3].Model
09 07,System[0].Model Bank Assign[3].Model
09 08,System[0].Model Bank Assign[3].Model
09 09,System[0].Model Bank Assign[3].Category
09 0a,System[0].Model Bank Assign[3].Category
09 0b,System[0].Model Bank Assign[3].Category
09 0c,System[0].Model Bank Assign[3].Category
09 0d,System[0].Model Bank Assign[3].Category
09 0e,System[0].Model Bank Assign[3].Category
09 0f,System[0].Model Bank Assign[3].Category
09 10,System[0].Model Bank Assign[3].Category
09 11,System[0].Model Bank Assign[3].EXZ
09 15,System[0].Model Bank Assign[3].EXZ
09 19,System[0].Model Bank Assign[3].EXZ
09 1d,System[0].Model Bank Assign[3].EXZ
09 21,System[0].Model Bank Assign[3].EXZ
09 25,System[0].Model Bank Assign[3].EXZ
09 29,System[0].Model Bank Assign[3].EXZ
09 2d,System[0].Model Bank Assign[3].EXZ
0a 00,System[0].Model Bank Assign[4].Attribute
